rng_seed,bootstrap_iter,code,classifier,clf,test_size,acc,f1,shuffled
383476564,0,id_target_gps,Logistic Regression,LR,0.1,0.8461538461538461,0.75,N
383476564,0,id_target_gps,Random Forest,RF,0.1,0.8461538461538461,0.6666666666666666,N
383476564,0,id_target_gps,Logistic Regression,LR,0.1,0.6538461538461539,0.0,Y
383476564,0,id_target_gps,Random Forest,RF,0.1,0.6538461538461539,0.0,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.2,0.7843137254901961,0.56,N
383476564,0,id_target_gps,Random Forest,RF,0.2,0.7843137254901961,0.6666666666666666,N
383476564,0,id_target_gps,Logistic Regression,LR,0.2,0.6862745098039216,0.2727272727272727,Y
383476564,0,id_target_gps,Random Forest,RF,0.2,0.6862745098039216,0.1111111111111111,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.3,0.8157894736842105,0.6111111111111112,N
383476564,0,id_target_gps,Random Forest,RF,0.3,0.8157894736842105,0.6666666666666666,N
383476564,0,id_target_gps,Logistic Regression,LR,0.3,0.75,0.24,Y
383476564,0,id_target_gps,Random Forest,RF,0.3,0.75,0.07142857142857142,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.4,0.8514851485148515,0.6666666666666666,N
383476564,0,id_target_gps,Random Forest,RF,0.4,0.8514851485148515,0.782608695652174,N
383476564,0,id_target_gps,Logistic Regression,LR,0.4,0.7623762376237624,0.25,Y
383476564,0,id_target_gps,Random Forest,RF,0.4,0.7623762376237624,0.1111111111111111,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.5,0.8174603174603174,0.6349206349206349,N
383476564,0,id_target_gps,Random Forest,RF,0.5,0.8174603174603174,0.7017543859649122,N
383476564,0,id_target_gps,Logistic Regression,LR,0.5,0.6666666666666666,0.19230769230769232,Y
383476564,0,id_target_gps,Random Forest,RF,0.5,0.6666666666666666,0.11538461538461539,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.6,0.7947019867549668,0.5633802816901409,N
383476564,0,id_target_gps,Random Forest,RF,0.6,0.7947019867549668,0.5,N
383476564,0,id_target_gps,Logistic Regression,LR,0.6,0.6423841059602649,0.15625,Y
383476564,0,id_target_gps,Random Forest,RF,0.6,0.6423841059602649,0.07017543859649122,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.7,0.75,0.5,N
383476564,0,id_target_gps,Random Forest,RF,0.7,0.75,0.631578947368421,N
383476564,0,id_target_gps,Logistic Regression,LR,0.7,0.7102272727272727,0.23880597014925373,Y
383476564,0,id_target_gps,Random Forest,RF,0.7,0.7102272727272727,0.09836065573770492,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.8,0.8109452736318408,0.62,N
383476564,0,id_target_gps,Random Forest,RF,0.8,0.8109452736318408,0.6292134831460674,N
383476564,0,id_target_gps,Logistic Regression,LR,0.8,0.5671641791044776,0.10309278350515463,Y
383476564,0,id_target_gps,Random Forest,RF,0.8,0.5671641791044776,0.05970149253731343,Y
383476564,0,id_target_gps,Logistic Regression,LR,0.9,0.7699115044247787,0.5517241379310345,N
383476564,0,id_target_gps,Random Forest,RF,0.9,0.7699115044247787,0.3855421686746988,N
383476564,0,id_target_gps,Logistic Regression,LR,0.9,0.6946902654867256,0.1038961038961039,Y
383476564,0,id_target_gps,Random Forest,RF,0.9,0.6946902654867256,0.05970149253731343,Y
383849492,0,coercive_control,Logistic Regression,LR,0.1,0.8076923076923077,0.5454545454545454,N
383849492,0,coercive_control,Random Forest,RF,0.1,0.8076923076923077,0.6666666666666666,N
383849492,0,coercive_control,Logistic Regression,LR,0.1,0.7307692307692307,0.0,Y
383849492,0,coercive_control,Random Forest,RF,0.1,0.7307692307692307,0.0,Y
383849492,0,coercive_control,Logistic Regression,LR,0.2,0.7647058823529411,0.4,N
383849492,0,coercive_control,Random Forest,RF,0.2,0.7647058823529411,0.6923076923076923,N
383849492,0,coercive_control,Logistic Regression,LR,0.2,0.7647058823529411,0.4,Y
383849492,0,coercive_control,Random Forest,RF,0.2,0.7647058823529411,0.3,Y
383849492,0,coercive_control,Logistic Regression,LR,0.3,0.7763157894736842,0.6382978723404256,N
383849492,0,coercive_control,Random Forest,RF,0.3,0.7763157894736842,0.8205128205128205,N
383849492,0,coercive_control,Logistic Regression,LR,0.3,0.631578947368421,0.06666666666666667,Y
383849492,0,coercive_control,Random Forest,RF,0.3,0.631578947368421,0.0,Y
383849492,0,coercive_control,Logistic Regression,LR,0.4,0.7524752475247525,0.4897959183673469,N
383849492,0,coercive_control,Random Forest,RF,0.4,0.7524752475247525,0.4444444444444444,N
383849492,0,coercive_control,Logistic Regression,LR,0.4,0.6732673267326733,0.23255813953488372,Y
383849492,0,coercive_control,Random Forest,RF,0.4,0.6732673267326733,0.05714285714285714,Y
383849492,0,coercive_control,Logistic Regression,LR,0.5,0.8015873015873016,0.6153846153846154,N
383849492,0,coercive_control,Random Forest,RF,0.5,0.8015873015873016,0.711864406779661,N
383849492,0,coercive_control,Logistic Regression,LR,0.5,0.6666666666666666,0.045454545454545456,Y
383849492,0,coercive_control,Random Forest,RF,0.5,0.6666666666666666,0.2127659574468085,Y
383849492,0,coercive_control,Logistic Regression,LR,0.6,0.7350993377483444,0.5,N
383849492,0,coercive_control,Random Forest,RF,0.6,0.7350993377483444,0.691358024691358,N
383849492,0,coercive_control,Logistic Regression,LR,0.6,0.6556291390728477,0.1875,Y
383849492,0,coercive_control,Random Forest,RF,0.6,0.6556291390728477,0.1875,Y
383849492,0,coercive_control,Logistic Regression,LR,0.7,0.75,0.45,N
383849492,0,coercive_control,Random Forest,RF,0.7,0.75,0.6265060240963856,N
383849492,0,coercive_control,Logistic Regression,LR,0.7,0.5965909090909091,0.3106796116504854,Y
383849492,0,coercive_control,Random Forest,RF,0.7,0.5965909090909091,0.16470588235294117,Y
383849492,0,coercive_control,Logistic Regression,LR,0.8,0.8009950248756219,0.5833333333333334,N
383849492,0,coercive_control,Random Forest,RF,0.8,0.8009950248756219,0.42105263157894735,N
383849492,0,coercive_control,Logistic Regression,LR,0.8,0.6169154228855721,0.15384615384615385,Y
383849492,0,coercive_control,Random Forest,RF,0.8,0.6169154228855721,0.11428571428571428,Y
383849492,0,coercive_control,Logistic Regression,LR,0.9,0.7256637168141593,0.4745762711864407,N
383849492,0,coercive_control,Random Forest,RF,0.9,0.7256637168141593,0.45161290322580644,N
383849492,0,coercive_control,Logistic Regression,LR,0.9,0.5707964601769911,0.291970802919708,Y
383849492,0,coercive_control,Random Forest,RF,0.9,0.5707964601769911,0.05,Y
384129188,0,existential_threat,Logistic Regression,LR,0.1,0.6923076923076923,0.3333333333333333,N
384129188,0,existential_threat,Random Forest,RF,0.1,0.6923076923076923,0.8888888888888888,N
384129188,0,existential_threat,Logistic Regression,LR,0.1,0.8076923076923077,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.1,0.8076923076923077,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.2,0.8627450980392157,0.5882352941176471,N
384129188,0,existential_threat,Random Forest,RF,0.2,0.8627450980392157,0.8235294117647058,N
384129188,0,existential_threat,Logistic Regression,LR,0.2,0.8235294117647058,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.2,0.8235294117647058,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.3,0.8947368421052632,0.7142857142857143,N
384129188,0,existential_threat,Random Forest,RF,0.3,0.8947368421052632,0.8148148148148148,N
384129188,0,existential_threat,Logistic Regression,LR,0.3,0.7894736842105263,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.3,0.7894736842105263,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.4,0.8712871287128713,0.5806451612903226,N
384129188,0,existential_threat,Random Forest,RF,0.4,0.8712871287128713,0.6,N
384129188,0,existential_threat,Logistic Regression,LR,0.4,0.8118811881188119,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.4,0.8118811881188119,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.5,0.8412698412698413,0.5,N
384129188,0,existential_threat,Random Forest,RF,0.5,0.8412698412698413,0.4,N
384129188,0,existential_threat,Logistic Regression,LR,0.5,0.753968253968254,0.11428571428571428,Y
384129188,0,existential_threat,Random Forest,RF,0.5,0.753968253968254,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.6,0.8741721854304636,0.4864864864864865,N
384129188,0,existential_threat,Random Forest,RF,0.6,0.8741721854304636,0.45714285714285713,N
384129188,0,existential_threat,Logistic Regression,LR,0.6,0.8079470198675497,0.06451612903225806,Y
384129188,0,existential_threat,Random Forest,RF,0.6,0.8079470198675497,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.7,0.8465909090909091,0.4489795918367347,N
384129188,0,existential_threat,Random Forest,RF,0.7,0.8465909090909091,0.5833333333333334,N
384129188,0,existential_threat,Logistic Regression,LR,0.7,0.8238636363636364,0.06060606060606061,Y
384129188,0,existential_threat,Random Forest,RF,0.7,0.8238636363636364,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.8,0.8208955223880597,0.28,N
384129188,0,existential_threat,Random Forest,RF,0.8,0.8208955223880597,0.3333333333333333,N
384129188,0,existential_threat,Logistic Regression,LR,0.8,0.7910447761194029,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.8,0.7910447761194029,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.9,0.7964601769911505,0.41025641025641024,N
384129188,0,existential_threat,Random Forest,RF,0.9,0.7964601769911505,0.2978723404255319,N
384129188,0,existential_threat,Logistic Regression,LR,0.9,0.7300884955752213,0.14084507042253522,Y
384129188,0,existential_threat,Random Forest,RF,0.9,0.7300884955752213,0.046511627906976744,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.1,0.9230769230769231,0.8333333333333334,N
768817768,1,id_target_gps,Random Forest,RF,0.1,0.9230769230769231,0.7692307692307693,N
768817768,1,id_target_gps,Logistic Regression,LR,0.1,0.6923076923076923,0.0,Y
768817768,1,id_target_gps,Random Forest,RF,0.1,0.6923076923076923,0.0,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.2,0.7254901960784313,0.36363636363636365,N
768817768,1,id_target_gps,Random Forest,RF,0.2,0.7254901960784313,0.6086956521739131,N
768817768,1,id_target_gps,Logistic Regression,LR,0.2,0.6470588235294118,0.1,Y
768817768,1,id_target_gps,Random Forest,RF,0.2,0.6470588235294118,0.11764705882352941,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.3,0.881578947368421,0.7428571428571429,N
768817768,1,id_target_gps,Random Forest,RF,0.3,0.881578947368421,0.7777777777777778,N
768817768,1,id_target_gps,Logistic Regression,LR,0.3,0.6447368421052632,0.06896551724137931,Y
768817768,1,id_target_gps,Random Forest,RF,0.3,0.6447368421052632,0.07407407407407407,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.4,0.8118811881188119,0.5777777777777777,N
768817768,1,id_target_gps,Random Forest,RF,0.4,0.8118811881188119,0.55,N
768817768,1,id_target_gps,Logistic Regression,LR,0.4,0.7128712871287128,0.12121212121212122,Y
768817768,1,id_target_gps,Random Forest,RF,0.4,0.7128712871287128,0.12121212121212122,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.5,0.8095238095238095,0.6129032258064516,N
768817768,1,id_target_gps,Random Forest,RF,0.5,0.8095238095238095,0.7017543859649122,N
768817768,1,id_target_gps,Logistic Regression,LR,0.5,0.6904761904761905,0.04878048780487805,Y
768817768,1,id_target_gps,Random Forest,RF,0.5,0.6904761904761905,0.18604651162790697,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.6,0.7947019867549668,0.6352941176470588,N
768817768,1,id_target_gps,Random Forest,RF,0.6,0.7947019867549668,0.6388888888888888,N
768817768,1,id_target_gps,Logistic Regression,LR,0.6,0.6556291390728477,0.10344827586206896,Y
768817768,1,id_target_gps,Random Forest,RF,0.6,0.6556291390728477,0.15873015873015872,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.7,0.8465909090909091,0.6746987951807228,N
768817768,1,id_target_gps,Random Forest,RF,0.7,0.8465909090909091,0.5074626865671642,N
768817768,1,id_target_gps,Logistic Regression,LR,0.7,0.6931818181818182,0.15625,Y
768817768,1,id_target_gps,Random Forest,RF,0.7,0.6931818181818182,0.0,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.8,0.7611940298507462,0.5555555555555556,N
768817768,1,id_target_gps,Random Forest,RF,0.8,0.7611940298507462,0.5909090909090909,N
768817768,1,id_target_gps,Logistic Regression,LR,0.8,0.7064676616915423,0.1917808219178082,Y
768817768,1,id_target_gps,Random Forest,RF,0.8,0.7064676616915423,0.11764705882352941,Y
768817768,1,id_target_gps,Logistic Regression,LR,0.9,0.7787610619469026,0.5370370370370371,N
768817768,1,id_target_gps,Random Forest,RF,0.9,0.7787610619469026,0.5192307692307693,N
768817768,1,id_target_gps,Logistic Regression,LR,0.9,0.6150442477876106,0.21621621621621623,Y
768817768,1,id_target_gps,Random Forest,RF,0.9,0.6150442477876106,0.16091954022988506,Y
769377160,1,coercive_control,Logistic Regression,LR,0.1,0.8846153846153846,0.7692307692307693,N
769377160,1,coercive_control,Random Forest,RF,0.1,0.8846153846153846,0.7692307692307693,N
769377160,1,coercive_control,Logistic Regression,LR,0.1,0.6923076923076923,0.0,Y
769377160,1,coercive_control,Random Forest,RF,0.1,0.6923076923076923,0.2,Y
769377160,1,coercive_control,Logistic Regression,LR,0.2,0.8235294117647058,0.6666666666666666,N
769377160,1,coercive_control,Random Forest,RF,0.2,0.8235294117647058,0.896551724137931,N
769377160,1,coercive_control,Logistic Regression,LR,0.2,0.6862745098039216,0.2,Y
769377160,1,coercive_control,Random Forest,RF,0.2,0.6862745098039216,0.32,Y
769377160,1,coercive_control,Logistic Regression,LR,0.3,0.8026315789473685,0.6153846153846154,N
769377160,1,coercive_control,Random Forest,RF,0.3,0.8026315789473685,0.8108108108108109,N
769377160,1,coercive_control,Logistic Regression,LR,0.3,0.6447368421052632,0.22857142857142856,Y
769377160,1,coercive_control,Random Forest,RF,0.3,0.6447368421052632,0.12121212121212122,Y
769377160,1,coercive_control,Logistic Regression,LR,0.4,0.8811881188118812,0.76,N
769377160,1,coercive_control,Random Forest,RF,0.4,0.8811881188118812,0.8,N
769377160,1,coercive_control,Logistic Regression,LR,0.4,0.6732673267326733,0.32653061224489793,Y
769377160,1,coercive_control,Random Forest,RF,0.4,0.6732673267326733,0.14634146341463414,Y
769377160,1,coercive_control,Logistic Regression,LR,0.5,0.7619047619047619,0.5454545454545454,N
769377160,1,coercive_control,Random Forest,RF,0.5,0.7619047619047619,0.7333333333333333,N
769377160,1,coercive_control,Logistic Regression,LR,0.5,0.6666666666666666,0.045454545454545456,Y
769377160,1,coercive_control,Random Forest,RF,0.5,0.6666666666666666,0.19230769230769232,Y
769377160,1,coercive_control,Logistic Regression,LR,0.6,0.7549668874172185,0.5647058823529412,N
769377160,1,coercive_control,Random Forest,RF,0.6,0.7549668874172185,0.7733333333333333,N
769377160,1,coercive_control,Logistic Regression,LR,0.6,0.6291390728476821,0.3,Y
769377160,1,coercive_control,Random Forest,RF,0.6,0.6291390728476821,0.24242424242424243,Y
769377160,1,coercive_control,Logistic Regression,LR,0.7,0.7727272727272727,0.5348837209302325,N
769377160,1,coercive_control,Random Forest,RF,0.7,0.7727272727272727,0.49411764705882355,N
769377160,1,coercive_control,Logistic Regression,LR,0.7,0.6704545454545454,0.14705882352941177,Y
769377160,1,coercive_control,Random Forest,RF,0.7,0.6704545454545454,0.06666666666666667,Y
769377160,1,coercive_control,Logistic Regression,LR,0.8,0.8059701492537313,0.6285714285714286,N
769377160,1,coercive_control,Random Forest,RF,0.8,0.8059701492537313,0.5287356321839081,N
769377160,1,coercive_control,Logistic Regression,LR,0.8,0.6318407960199005,0.3148148148148148,Y
769377160,1,coercive_control,Random Forest,RF,0.8,0.6318407960199005,0.08571428571428572,Y
769377160,1,coercive_control,Logistic Regression,LR,0.9,0.7699115044247787,0.6388888888888888,N
769377160,1,coercive_control,Random Forest,RF,0.9,0.7699115044247787,0.6218487394957983,N
769377160,1,coercive_control,Logistic Regression,LR,0.9,0.5176991150442478,0.22695035460992907,Y
769377160,1,coercive_control,Random Forest,RF,0.9,0.5176991150442478,0.09523809523809523,Y
769936552,1,existential_threat,Logistic Regression,LR,0.1,0.8461538461538461,0.5,N
769936552,1,existential_threat,Random Forest,RF,0.1,0.8461538461538461,0.75,N
769936552,1,existential_threat,Logistic Regression,LR,0.1,0.8076923076923077,0.2857142857142857,Y
769936552,1,existential_threat,Random Forest,RF,0.1,0.8076923076923077,0.0,Y
769936552,1,existential_threat,Logistic Regression,LR,0.2,0.8431372549019608,0.5,N
769936552,1,existential_threat,Random Forest,RF,0.2,0.8431372549019608,0.75,N
769936552,1,existential_threat,Logistic Regression,LR,0.2,0.7843137254901961,0.0,Y
769936552,1,existential_threat,Random Forest,RF,0.2,0.7843137254901961,0.0,Y
769936552,1,existential_threat,Logistic Regression,LR,0.3,0.8157894736842105,0.4166666666666667,N
769936552,1,existential_threat,Random Forest,RF,0.3,0.8157894736842105,0.6086956521739131,N
769936552,1,existential_threat,Logistic Regression,LR,0.3,0.7631578947368421,0.1,Y
769936552,1,existential_threat,Random Forest,RF,0.3,0.7631578947368421,0.1111111111111111,Y
769936552,1,existential_threat,Logistic Regression,LR,0.4,0.8712871287128713,0.5517241379310345,N
769936552,1,existential_threat,Random Forest,RF,0.4,0.8712871287128713,0.8125,N
769936552,1,existential_threat,Logistic Regression,LR,0.4,0.7821782178217822,0.08333333333333333,Y
769936552,1,existential_threat,Random Forest,RF,0.4,0.7821782178217822,0.0,Y
769936552,1,existential_threat,Logistic Regression,LR,0.5,0.8650793650793651,0.5405405405405406,N
769936552,1,existential_threat,Random Forest,RF,0.5,0.8650793650793651,0.6486486486486487,N
769936552,1,existential_threat,Logistic Regression,LR,0.5,0.8095238095238095,0.07692307692307693,Y
769936552,1,existential_threat,Random Forest,RF,0.5,0.8095238095238095,0.16,Y
769936552,1,existential_threat,Logistic Regression,LR,0.6,0.8211920529801324,0.4,N
769936552,1,existential_threat,Random Forest,RF,0.6,0.8211920529801324,0.43243243243243246,N
769936552,1,existential_threat,Logistic Regression,LR,0.6,0.7947019867549668,0.11428571428571428,Y
769936552,1,existential_threat,Random Forest,RF,0.6,0.7947019867549668,0.11764705882352941,Y
769936552,1,existential_threat,Logistic Regression,LR,0.7,0.8295454545454546,0.34782608695652173,N
769936552,1,existential_threat,Random Forest,RF,0.7,0.8295454545454546,0.5,N
769936552,1,existential_threat,Logistic Regression,LR,0.7,0.8068181818181818,0.0,Y
769936552,1,existential_threat,Random Forest,RF,0.7,0.8068181818181818,0.05555555555555555,Y
769936552,1,existential_threat,Logistic Regression,LR,0.8,0.8308457711442786,0.46875,N
769936552,1,existential_threat,Random Forest,RF,0.8,0.8308457711442786,0.4,N
769936552,1,existential_threat,Logistic Regression,LR,0.8,0.7412935323383084,0.10344827586206896,Y
769936552,1,existential_threat,Random Forest,RF,0.8,0.7412935323383084,0.047619047619047616,Y
769936552,1,existential_threat,Logistic Regression,LR,0.9,0.831858407079646,0.3870967741935484,N
769936552,1,existential_threat,Random Forest,RF,0.9,0.831858407079646,0.24489795918367346,N
769936552,1,existential_threat,Logistic Regression,LR,0.9,0.7920353982300885,0.0784313725490196,Y
769936552,1,existential_threat,Random Forest,RF,0.9,0.7920353982300885,0.0,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.1,0.7692307692307693,0.4,N
1155743916,2,id_target_gps,Random Forest,RF,0.1,0.7692307692307693,0.7272727272727273,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.1,0.7692307692307693,0.25,Y
1155743916,2,id_target_gps,Random Forest,RF,0.1,0.7692307692307693,0.0,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.2,0.8431372549019608,0.6666666666666666,N
1155743916,2,id_target_gps,Random Forest,RF,0.2,0.8431372549019608,0.6666666666666666,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.2,0.7254901960784313,0.0,Y
1155743916,2,id_target_gps,Random Forest,RF,0.2,0.7254901960784313,0.0,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.3,0.7763157894736842,0.5405405405405406,N
1155743916,2,id_target_gps,Random Forest,RF,0.3,0.7763157894736842,0.5333333333333333,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.3,0.7368421052631579,0.375,Y
1155743916,2,id_target_gps,Random Forest,RF,0.3,0.7368421052631579,0.08,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.4,0.7722772277227723,0.5818181818181818,N
1155743916,2,id_target_gps,Random Forest,RF,0.4,0.7722772277227723,0.6530612244897959,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.4,0.6732673267326733,0.23255813953488372,Y
1155743916,2,id_target_gps,Random Forest,RF,0.4,0.6732673267326733,0.10256410256410256,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.5,0.8015873015873016,0.5454545454545454,N
1155743916,2,id_target_gps,Random Forest,RF,0.5,0.8015873015873016,0.7037037037037037,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.5,0.6666666666666666,0.19230769230769232,Y
1155743916,2,id_target_gps,Random Forest,RF,0.5,0.6666666666666666,0.23529411764705882,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.6,0.8145695364238411,0.6410256410256411,N
1155743916,2,id_target_gps,Random Forest,RF,0.6,0.8145695364238411,0.7368421052631579,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.6,0.6423841059602649,0.20588235294117646,Y
1155743916,2,id_target_gps,Random Forest,RF,0.6,0.6423841059602649,0.21428571428571427,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.7,0.8295454545454546,0.6428571428571429,N
1155743916,2,id_target_gps,Random Forest,RF,0.7,0.8295454545454546,0.6575342465753424,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.7,0.6420454545454546,0.2222222222222222,Y
1155743916,2,id_target_gps,Random Forest,RF,0.7,0.6420454545454546,0.11940298507462686,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.8,0.746268656716418,0.592,N
1155743916,2,id_target_gps,Random Forest,RF,0.8,0.746268656716418,0.6534653465346535,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.8,0.6268656716417911,0.21052631578947367,Y
1155743916,2,id_target_gps,Random Forest,RF,0.8,0.6268656716417911,0.11428571428571428,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.9,0.7345132743362832,0.6,N
1155743916,2,id_target_gps,Random Forest,RF,0.9,0.7345132743362832,0.4186046511627907,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.9,0.5707964601769911,0.32167832167832167,Y
1155743916,2,id_target_gps,Random Forest,RF,0.9,0.5707964601769911,0.20224719101123595,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.1,0.8846153846153846,0.7692307692307693,N
1156583004,2,coercive_control,Random Forest,RF,0.1,0.8846153846153846,0.9333333333333333,N
1156583004,2,coercive_control,Logistic Regression,LR,0.1,0.7307692307692307,0.0,Y
1156583004,2,coercive_control,Random Forest,RF,0.1,0.7307692307692307,0.0,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.2,0.803921568627451,0.6666666666666666,N
1156583004,2,coercive_control,Random Forest,RF,0.2,0.803921568627451,0.7407407407407407,N
1156583004,2,coercive_control,Logistic Regression,LR,0.2,0.6666666666666666,0.0,Y
1156583004,2,coercive_control,Random Forest,RF,0.2,0.6666666666666666,0.19047619047619047,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.3,0.8157894736842105,0.6666666666666666,N
1156583004,2,coercive_control,Random Forest,RF,0.3,0.8157894736842105,0.8717948717948718,N
1156583004,2,coercive_control,Logistic Regression,LR,0.3,0.7105263157894737,0.0,Y
1156583004,2,coercive_control,Random Forest,RF,0.3,0.7105263157894737,0.08333333333333333,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.4,0.7920792079207921,0.5714285714285714,N
1156583004,2,coercive_control,Random Forest,RF,0.4,0.7920792079207921,0.625,N
1156583004,2,coercive_control,Logistic Regression,LR,0.4,0.6831683168316832,0.1111111111111111,Y
1156583004,2,coercive_control,Random Forest,RF,0.4,0.6831683168316832,0.1111111111111111,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.5,0.746031746031746,0.5,N
1156583004,2,coercive_control,Random Forest,RF,0.5,0.746031746031746,0.65625,N
1156583004,2,coercive_control,Logistic Regression,LR,0.5,0.5396825396825397,0.09375,Y
1156583004,2,coercive_control,Random Forest,RF,0.5,0.5396825396825397,0.18181818181818182,Y
